dataset,method,gene,fdr,essential
CRISPR.RT112,CC2,RPS19,3.214798291732493e-28,1
CRISPR.RT112,CC2,NUP93,5.418665452723319e-25,1
CRISPR.RT112,CC2,PSMD11,4.159225413512664e-29,1
CRISPR.RT112,CC2,RPS3A,2.3459854910133315e-17,1
CRISPR.RT112,CC2,PSMB3,1.2921485714763423e-15,1
CRISPR.RT112,CC2,POLR2A,1.3569459985832217e-27,1
CRISPR.RT112,CC2,RPS8,8.646831950899275e-25,1
CRISPR.RT112,CC2,RPL36,1.9391166136746957e-25,1
CRISPR.RT112,CC2,RPS13,9.316199568989788e-31,1
CRISPR.RT112,CC2,RPS11,1.7129768923967658e-19,1
CRISPR.RT112,CC2,PSMC1,7.666221497664788e-27,1
CRISPR.RT112,CC2,RPS9,1.4158301376840751e-15,1
CRISPR.RT112,CC2,COPB1,1.2639430126687698e-23,1
CRISPR.RT112,CC2,RPL5,2.065390111958214e-19,1
CRISPR.RT112,CC2,RPL11,2.4415766709025837e-31,1
CRISPR.RT112,CC2,PSMB2,3.6028702815969144e-63,1
CRISPR.RT112,CC2,COPZ1,7.124485076554904e-21,1
CRISPR.RT112,CC2,PSMD6,1.794788019613684e-57,1
CRISPR.RT112,CC2,COPA,1.9191042215584739e-31,1
CRISPR.RT112,CC2,RPL18A,6.855111921914382e-27,1
CRISPR.RT112,CC2,POLR2F,3.662157280491033e-23,1
CRISPR.RT112,CC2,POLR2D,2.089454955982088e-25,1
CRISPR.RT112,CC2,PSMA3,5.169693587028281e-18,1
CRISPR.RT112,CC2,RPL34,1.582550104152214e-20,1
CRISPR.RT112,CC2,RPS24,1.9957815283403747e-8,1
CRISPR.RT112,CC2,PSMC4,2.4566773693943143e-27,1
CRISPR.RT112,CC2,RPL27,4.1458492062532905e-9,1
CRISPR.RT112,CC2,RPL9,1.7505953749527445e-18,1
CRISPR.RT112,CC2,PSMC2,7.666221497664788e-27,1
CRISPR.RT112,CC2,NUP54,9.651580024135017e-25,1
CRISPR.RT112,CC2,COPS4,2.1332396886849878e-30,1
CRISPR.RT112,CC2,NUP133,3.0832359430005184e-25,1
CRISPR.RT112,CC2,RPL35A,1.7129768923967658e-19,1
CRISPR.RT112,CC2,RPL3,8.494488076789473e-21,1
CRISPR.RT112,CC2,RPL30,3.0519425042121882e-9,1
CRISPR.RT112,CC2,POLA1,2.6178129560047357e-18,1
CRISPR.RT112,CC2,NUP98,3.214798291732493e-28,1
CRISPR.RT112,CC2,COPS2,1.0780764533636607e-11,1
CRISPR.RT112,CC2,RPL6,8.925260060459569e-5,1
CRISPR.RT112,CC2,PSMD7,6.103521720361809e-25,1
CRISPR.RT112,CC2,COPS8,3.8304061184857826e-13,1
CRISPR.RT112,CC2,COPS6,2.3459854910133315e-17,1
CRISPR.RT112,CC2,NUP205,2.5476770242057525e-21,1
CRISPR.RT112,CC2,PSMD1,5.1357941727192166e-17,1
CRISPR.RT112,CC2,RPS7,4.3607558873591e-4,1
CRISPR.RT112,CC2,RPS27,9.315388605745294e-10,1
CRISPR.RT112,CC2,LYZL6,1,0
CRISPR.RT112,CC2,CRYGB,1,0
CRISPR.RT112,CC2,MRGPRD,1,0
CRISPR.RT112,CC2,IL1F10,1,0
CRISPR.RT112,CC2,OTUD6A,1,0
CRISPR.RT112,CC2,KRT25,1,0
CRISPR.RT112,CC2,PIWIL3,1,0
CRISPR.RT112,CC2,TPH2,1,0
CRISPR.RT112,CC2,RNASE9,1,0
CRISPR.RT112,CC2,NPSR1,1,0
CRISPR.RT112,CC2,DMRTB1,1,0
CRISPR.RT112,CC2,RPTN,1,0
CRISPR.RT112,CC2,HTR3D,1,0
CRISPR.RT112,CC2,DMRTC2,1,0
CRISPR.RT112,CC2,OLIG2,1,0
CRISPR.RT112,CC2,IL22,1,0
CRISPR.RT112,CC2,OR9Q2,1,0
CRISPR.RT112,CC2,RXFP2,1,0
CRISPR.RT112,CC2,LUZP4,1,0
CRISPR.RT112,CC2,KRT74,1,0
CRISPR.RT112,CC2,OC90,1,0
CRISPR.RT112,CC2,NPHS2,1,0
CRISPR.RT112,CC2,FCRL4,1,0
CRISPR.RT112,CC2,LHX5,1,0
CRISPR.RT112,CC2,FAM71B,1,0
CRISPR.RT112,CC2,CYP7A1,1,0
CRISPR.RT112,CC2,SAGE1,1,0
CRISPR.RT112,CC2,SPATA16,1,0
CRISPR.RT112,CC2,TAAR8,1,0
CRISPR.RT112,CC2,CABP5,1,0
CRISPR.RT112,CC2,ADH7,1,0
CRISPR.RT112,CC2,TGM6,1,0
CRISPR.RT112,CC2,TRIM42,1,0
CRISPR.RT112,CC2,KRT9,1,0
CRISPR.RT112,CC2,TAS2R13,1,0
CRISPR.RT112,CC2,NLRP5,1,0
CRISPR.RT112,CC2,MAGEB3,1,0
CRISPR.RT112,CC2,VN1R2,1,0
CRISPR.RT112,CC2,ABCG8,1,0
CRISPR.RT112,CC2,OR12D2,1,0
CRISPR.RT112,CC2,POU4F2,1,0
CRISPR.RT112,CC2,DEFB129,1,0
CRISPR.RT112,CC2,KRT77,1,0
CRISPR.RT112,CC2,PLA2G2E,1,0
CRISPR.RT112,CC2,TAAR1,1,0
CRISPR.RT112,CC2,TAS2R9,1,0
CRISPR.RT112,CC2,OR52E8,1,0
CRISPR.RT112,HitSelect,PSMB2,0.01075269,1
CRISPR.RT112,HitSelect,RPS19,0.01075269,1
CRISPR.RT112,HitSelect,RPS13,0.01075269,1
CRISPR.RT112,HitSelect,RPL11,0.01075269,1
CRISPR.RT112,HitSelect,RPS9,0.01075269,1
CRISPR.RT112,HitSelect,NUP93,0.01075269,1
CRISPR.RT112,HitSelect,RPS8,0.01075269,1
CRISPR.RT112,HitSelect,RPL35A,0.01075269,1
CRISPR.RT112,HitSelect,RPL36,0.01075269,1
CRISPR.RT112,HitSelect,POLR2A,0.01075269,1
CRISPR.RT112,HitSelect,RPL9,0.01075269,1
CRISPR.RT112,HitSelect,POLR2D,0.01075269,1
CRISPR.RT112,HitSelect,PSMD6,0.01075269,1
CRISPR.RT112,HitSelect,COPB1,0.01075269,1
CRISPR.RT112,HitSelect,RPL34,0.01075269,1
CRISPR.RT112,HitSelect,COPA,0.01075269,1
CRISPR.RT112,HitSelect,COPS4,0.01075269,1
CRISPR.RT112,HitSelect,PSMD11,0.01075269,1
CRISPR.RT112,HitSelect,RPL18A,0.01075269,1
CRISPR.RT112,HitSelect,PSMD7,0.01075269,1
CRISPR.RT112,HitSelect,PSMC2,0.01075269,1
CRISPR.RT112,HitSelect,PSMC1,0.01075269,1
CRISPR.RT112,HitSelect,PSMC4,0.01075269,1
CRISPR.RT112,HitSelect,COPZ1,0.01075269,1
