dataset,method,gene,score,essential
CRISPR.RT112,CC2,RPS19,1,1
CRISPR.RT112,CC2,NUP93,1,1
CRISPR.RT112,CC2,PSMD11,1,1
CRISPR.RT112,CC2,RPS3A,1,1
CRISPR.RT112,CC2,PSMB3,0.9999999999999994,1
CRISPR.RT112,CC2,POLR2A,1,1
CRISPR.RT112,CC2,RPS8,1,1
CRISPR.RT112,CC2,RPL36,1,1
CRISPR.RT112,CC2,RPS13,1,1
CRISPR.RT112,CC2,RPS11,1,1
CRISPR.RT112,CC2,PSMC1,1,1
CRISPR.RT112,CC2,RPS9,0.9999999999999994,1
CRISPR.RT112,CC2,COPB1,1,1
CRISPR.RT112,CC2,RPL5,1,1
CRISPR.RT112,CC2,RPL11,1,1
CRISPR.RT112,CC2,PSMB2,1,1
CRISPR.RT112,CC2,COPZ1,1,1
CRISPR.RT112,CC2,PSMD6,1,1
CRISPR.RT112,CC2,COPA,1,1
CRISPR.RT112,CC2,RPL18A,1,1
CRISPR.RT112,CC2,POLR2F,1,1
CRISPR.RT112,CC2,POLR2D,1,1
CRISPR.RT112,CC2,PSMA3,1,1
CRISPR.RT112,CC2,RPL34,1,1
CRISPR.RT112,CC2,RPS24,0.9999999905575928,1
CRISPR.RT112,CC2,PSMC4,1,1
CRISPR.RT112,CC2,RPL27,0.999999998083102,1
CRISPR.RT112,CC2,RPL9,1,1
CRISPR.RT112,CC2,PSMC2,1,1
CRISPR.RT112,CC2,NUP54,1,1
CRISPR.RT112,CC2,COPS4,1,1
CRISPR.RT112,CC2,NUP133,1,1
CRISPR.RT112,CC2,RPL35A,1,1
CRISPR.RT112,CC2,RPL3,1,1
CRISPR.RT112,CC2,RPL30,0.9999999986217034,1
CRISPR.RT112,CC2,POLA1,1,1
CRISPR.RT112,CC2,NUP98,1,1
CRISPR.RT112,CC2,COPS2,0.9999999999953632,1
CRISPR.RT112,CC2,RPL6,0.999956813257772,1
CRISPR.RT112,CC2,PSMD7,1,1
CRISPR.RT112,CC2,COPS8,0.9999999999998394,1
CRISPR.RT112,CC2,COPS6,1,1
CRISPR.RT112,CC2,NUP205,1,1
CRISPR.RT112,CC2,PSMD1,1,1
CRISPR.RT112,CC2,RPS7,0.9997843066980446,1
CRISPR.RT112,CC2,RPS27,0.9999999995893216,1
CRISPR.RT112,CC2,LYZL6,0.29581410604223113,0
CRISPR.RT112,CC2,CRYGB,1.709743457922741e-14,0
CRISPR.RT112,CC2,MRGPRD,1.488809076022335e-13,0
CRISPR.RT112,CC2,IL1F10,2.6423307986078726e-14,0
CRISPR.RT112,CC2,OTUD6A,0,0
CRISPR.RT112,CC2,KRT25,4.00768307429189e-12,0
CRISPR.RT112,CC2,PIWIL3,0,0
CRISPR.RT112,CC2,TPH2,7.549516567451064e-15,0
CRISPR.RT112,CC2,RNASE9,0,0
CRISPR.RT112,CC2,NPSR1,1.7763568394002505e-15,0
CRISPR.RT112,CC2,DMRTB1,0,0
CRISPR.RT112,CC2,RPTN,0,0
CRISPR.RT112,CC2,HTR3D,0,0
CRISPR.RT112,CC2,DMRTC2,0,0
